source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,g,bp,rp,bp_rp,radial_velocity,radial_velocity_error,ruwe,phi1,phi2,pm_phi1,pm_phi2,distance
6478378757748289536,314.4738327558637,-48.93104425910556,0.2870264976179988,0.32850188,16.031892109341317,0.24192457,-14.84692129597746,0.24759246,19.151546,19.61946,18.636045,0.9834137,,,1.0515965,-32.094856717888206,2.1073204104617766,-11.1361701907305,-18.799956118501843,3.483998893129692
6478414805410581248,314.88605372588125,-48.45933610824165,0.2891249785322406,0.06601911,8.874413582098253,0.054464165,-21.689375715290065,0.0557872,16.738094,17.020811,16.304207,0.71660423,,,1.0140774,-31.57657081701774,1.939226844972904,-19.40845483332484,-13.133777686862777,3.4587118867299425
6479964150436437504,315.43240347722025,-47.77008433266212,0.2864490451028955,0.10843397,13.554910579931526,0.106355056,-15.87554178126867,0.105217546,17.73072,18.02496,17.263075,0.7618847,,,0.9871178,-30.827604091949752,1.7207423461619704,-12.882161487619662,-16.426148151214136,3.4910222851006174
6481363863098301824,313.58060276993007,-48.50150910869194,0.2874236438689547,0.10471968,2.526936169416148,0.09099014,-11.06346763113137,0.08449265,17.641184,17.970333,17.181465,0.78886795,,,0.97410214,-31.80270620737349,2.7756146411238456,-10.226915583131015,-4.918934852679706,3.479184894252927
6481462406827679744,313.8242116885854,-48.182951709511,0.2834284561816209,0.21377724,-3.4183107820351606,0.16894764,-4.518529810202576,0.1698631,18.693064,19.005638,18.200277,0.8053608,,,0.9836604,-31.45591815473057,2.687817021702873,-5.15630030763879,2.348303086424593,3.528227241089724
6481418082765168768,314.1637559176288,-48.21342952020932,0.2872950879045025,0.17662254,2.0033979704188427,0.15088047,-6.031777371065685,0.1558269,18.423113,18.74743,17.945814,0.80161667,,,0.90545034,-31.43668736211453,2.460258571159408,-5.462672708007775,-3.2488688134742234,3.480741725498635
6481536211545559552,312.89396482281984,-48.52736813715151,0.2896702318528649,0.3020248,0.2649749418024978,0.2414521,-13.429451995593002,0.26152086,19.248627,19.706188,18.590189,1.1159992,,,1.1575265,-31.931015928926968,3.212807779584139,-13.005855551259543,-3.356801156084668,3.452201469248452
6481403415454060416,314.0761253608731,-48.60042922931224,0.2898618030339724,0.085541196,-5.455072089872949,0.07660014,-3.8983324454162194,0.07855882,17.330301,17.639193,16.885561,0.7536316,,,0.94572204,-31.82750293257021,2.433907808686397,-4.982741114082798,4.486323478163889,3.4499198912483062
6481510342960056704,314.0127569014743,-47.7571276898401,0.2864426165001141,0.16098636,-0.7638308567161283,0.15253022,-6.714184890038366,0.17368716,18.21582,18.615585,17.680183,0.9354019,,,1.0902821,-31.012361144232784,2.657062769210045,-6.720829540130736,-0.7029698484268563,3.4911006337620214
6481348714750779648,313.3206245572385,-48.87311145916094,0.2848548679406513,0.091341116,5.959168560699107,0.0828091,-12.042127937500176,0.07389766,17.311613,17.546183,16.941296,0.604887,,,0.9234111,-32.20377161716186,2.8597553901217405,-10.387657182580856,-8.521802242197554,3.510559630697086
